,Name,RAM,ROM,Extended_memory,Battery,Processor,Price
0,POCO M3,6,64,512,6000,Qualcomm Snapdragon 662 Processor,10999
1,REDMI 9 Power,4,64,0,6000,Qualcomm Snapdragon 662 Processor,10499
2,POCO M3,6,64,512,6000,Qualcomm Snapdragon 662 Processor,10999
3,SAMSUNG Galaxy F41,6,128,512,6000,Exynos 9611 Processor,14499
4,POCO M3,6,128,512,6000,Qualcomm Snapdragon 662 Processor,11999
5,realme 8 5G,4,64,1,5000,MediaTek Dimensity 700 MT6833 Processor,13999
6,realme 8 5G,8,128,1,5000,MediaTek Dimensity 700 MT6833 Processor,16999
7,realme C25,4,128,256,6000,MediaTek Helio G70 Processor,10499
8,realme C25,4,128,256,6000,MediaTek Helio G70 Processor,10499
9,REDMI 9 Power,4,64,0,6000,Qualcomm Snapdragon 662 Processor,10499
10,POCO M3,6,128,512,6000,Qualcomm Snapdragon 662 Processor,11999
11,Infinix Hot 10,6,128,256,5200,MediaTek Helio G70 Processor,10999
12,POCO X3 Pro,6,128,1,5160,Qualcomm Snapdragon 860 Processor,18999
13,REDMI Note 9,4,64,512,5020,MediaTek Helio G85 Processor,10999
14,REDMI 9 Power,6,128,0,6000,Qualcomm Snapdragon 662 Processor,12999
15,REDMI 9 Power,4,64,0,6000,Qualcomm Snapdragon 662 Processor,10499
16,POCO M3,6,64,512,6000,Qualcomm Snapdragon 662 Processor,10999
17,realme 8 5G,4,128,1,5000,MediaTek Dimensity 700 MT6833 Processor,14999
18,realme 8 5G,4,128,1,5000,MediaTek Dimensity 700 MT6833 Processor,14999
19,realme 8 5G,8,128,1,5000,MediaTek Dimensity 700 MT6833 Processor,16999
20,realme 8 5G,4,64,1,5000,MediaTek Dimensity 700 MT6833 Processor,13999
21,POCO X3,6,64,512,6000,Qualcomm Snapdragon 732G Processor,14999
22,SAMSUNG Galaxy F12,4,128,512,6000,Exynos 850 Processor,10999
23,OPPO A53s 5G,6,128,1,5000,MediaTek Dimensity 700 Processor,14990
24,OPPO A53s 5G,6,128,1,5000,MediaTek Dimensity 700 Processor,14990
25,realme 8,8,128,256,5000,MediaTek Helio G95 Processor,15999
26,realme 8,6,128,256,5000,MediaTek Helio G95 Processor,14999
27,realme 8,6,128,256,5000,MediaTek Helio G95 Processor,14999
28,realme 8,4,128,256,5000,MediaTek Helio G95 Processor,13999
29,realme Narzo 30 Pro 5G,8,128,256,5000,MediaTek Dimensity 800U Processor,17999
30,realme Narzo 30 Pro 5G,6,64,256,5000,MediaTek Dimensity 800U Processor,14999
31,realme Narzo 30 Pro 5G,6,64,256,5000,MediaTek Dimensity 800U Processor,14999
32,POCO M3,6,128,512,6000,Qualcomm Snapdragon 662 Processor,11999
33,REDMI Note 9,4,64,512,5020,MediaTek Helio G85 Processor,12975
34,SAMSUNG Galaxy F12,4,128,512,6000,Exynos 850 Processor,10999
35,POCO X3,6,64,512,6000,Qualcomm Snapdragon 732G Processor,14999
36,REDMI Note 9,4,64,512,5020,MediaTek Helio G85 Processor,10999
37,realme C25s,4,128,256,6000,MediaTek Helio G85 Processor,10999
38,realme 8 Pro,8,128,256,4500,Qualcomm Snapdragon 720G Processor,19999
39,REDMI Note 10,4,64,512,5000,Qualcomm Snapdragon 678 Processor,13487
40,SAMSUNG Galaxy M31,6,128,512,6000,Samsung Exynos 9 Octa 9611 Processor,16487
41,POCO M2,6,64,512,5000,MediaTek Helio G80 Processor,10499
42,OPPO A53,6,128,256,5000,Qualcomm Snapdragon 460 Processor,12990
43,OPPO A53,4,64,256,5000,Qualcomm Snapdragon 460 Processor,15990
44,Infinix Hot 10S,6,64,256,6000,MediaTek Helio G85 Processor,10999
45,OPPO A53s 5G,8,128,1,5000,MediaTek Dimensity 700 Processor,16990
46,realme 8,8,128,256,5000,MediaTek Helio G95 Processor,15999
47,realme 8,4,128,256,5000,MediaTek Helio G95 Processor,13999
48,SAMSUNG Galaxy M42 5G,6,128,1,5000,Qualcomm Snapdragon 750G octa core Processor,22990
49,POCO X3 Pro,8,128,1,5160,Qualcomm Snapdragon 860 Processor,20999
50,OPPO A53,4,64,256,5000,Qualcomm Snapdragon 460 Processor,13990
51,MOTOROLA G60,6,128,0,6000,Qualcomm Snapdragon 732G Processor,17999
52,MOTOROLA G30,4,64,0,5000,Snapdragon 662 Processor,10999
53,ViVO Y20G,4,64,1,5000,MediaTek Helio G80 Processor,12990
54,MOTOROLA G40 Fusion,6,128,0,6000,Qualcomm Snapdragon 732G Processor,16499
55,REDMI 9 Power,4,128,0,6000,Qualcomm Snapdragon 662 Processor,11999
56,SAMSUNG Galaxy F62,8,128,1,7000,Exynos 9825 Processor,25999
57,ViVO Y30,4,128,256,5000,MediaTek Helio P35 Processor,13990
